task_id,model,temperature,n,mean,median,min,max,std,cov,success_rate,ci_95_low,ci_95_high,error_margin_absolute,error_margin_relative,prompt_tokens,completion_tokens,total_tokens
HumanEval/0,llama-3.3-70b-versatile,2.0,100,0.2,0.0,0,1,0.4020151261036849,2.010075630518424,0.2,0.1333669333310325,0.2888291655931589,0.0777311161310632,0.388655580655316,15420,24177,39597
HumanEval/0,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,14800,8148,22948
HumanEval/1,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,14042,12824,26866
HumanEval/2,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,9740,15297,25037
HumanEval/3,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,12500,16064,28564
HumanEval/1,llama-3.3-70b-versatile,2.0,100,0.09,0.0,0,1,0.2876234912646614,3.195816569607349,0.09,0.048072540002565146,0.16226212852716312,0.05709479426229899,0.6343866029144333,14400,25580,39980
HumanEval/2,llama-3.3-70b-versatile,2.0,100,0.91,1.0,0,1,0.2876234912646614,0.31606977062050706,0.91,0.8377378714728368,0.9519274599974349,0.05709479426229902,0.06274153215637254,11400,24486,35886
HumanEval/4,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,12100,16518,28618
HumanEval/5,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,10100,17561,27661
HumanEval/6,gemini-3.1-flash-lite,2.0,100,0.19,0.0,0,1,0.3942772444036625,2.075143391598224,0.19,0.12514751509768735,0.27778845379064376,0.07632046934647821,0.40168668077093794,12100,24894,36994
HumanEval/7,gemini-3.1-flash-lite,2.0,100,1.0,1.0,1,1,0.0,0.0,1.0,0.9630065017930143,1.0,0.01849674910349286,0.01849674910349286,10100,11700,21800
